,match_id,winner,venue,year,toss_winner,toss_decision,match_type,team_1,team_1_score,team_1_wickets,team_1_balls_faced,team_2,team_2_score,team_2_wickets,team_2_balls_faced
114,1359541,CSK,"Arun Jaitley Stadium, Delhi",2023,CSK,bat,Group Stage,CSK,223,3,120,DC,146,9,120
115,1304097,MI,"Brabourne Stadium, Mumbai",2022,GT,field,Group Stage,MI,177,6,120,GT,172,5,120
116,1304078,DC,"Brabourne Stadium, Mumbai",2022,DC,field,Group Stage,PBKS,115,10,120,DC,119,1,69
117,1473441,DC,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025,DC,field,Group Stage,LSG,209,8,120,DC,211,9,120
118,1473504,CSK,"Narendra Modi Stadium, Ahmedabad",2025,CSK,bat,Group Stage,CSK,230,5,120,GT,147,10,117
119,1304081,GT,"Dr DY Patil Sports Academy, Mumbai",2022,GT,bat,Group Stage,GT,156,9,120,KKR,148,8,120
120,1485779,DC,"Sawai Mansingh Stadium, Jaipur",2025,DC,field,Group Stage,PBKS,206,8,120,DC,208,4,120
121,1359500,LSG,"Sawai Mansingh Stadium, Jaipur",2023,RR,field,Group Stage,LSG,154,7,120,RR,144,6,120
122,1426266,KKR,"Eden Gardens, Kolkata",2024,KKR,field,Group Stage,LSG,161,7,120,KKR,162,2,105
123,1426289,KKR,"Wankhede Stadium, Mumbai",2024,MI,field,Group Stage,KKR,169,10,120,MI,145,10,118
124,1473461,DC,"M Chinnaswamy Stadium, Bengaluru",2025,DC,field,Group Stage,RCB,163,7,120,DC,169,4,110
125,1426303,PBKS,"Barsapara Cricket Stadium, Guwahati",2024,RR,bat,Group Stage,RR,144,9,120,PBKS,145,5,114
